Protein IDs,Majority protein IDs,Protein names,Gene names,UPS2/1 ratio,
P21177,P21177,Fatty acid oxidation complex subunit alpha;Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase;3-hydroxyacyl-CoA dehydrogenase,fadB,,
P69451,P69451,Long-chain-fatty-acid--CoA ligase,fadD,,
Q47146,Q47146,Acyl-coenzyme A dehydrogenase,fadE,,
P42593,P42593,"2,4-dienoyl-CoA reductase [NADPH]",fadH,,
P76503,P76503,3-ketoacyl-CoA thiolase,fadI,,
P77399,P77399,Fatty acid oxidation complex subunit alpha;Enoyl-CoA hydratase/3-hydroxybutyryl-CoA epimerase;3-hydroxyacyl-CoA dehydrogenase,fadJ,,
P10384,P10384,Long-chain fatty acid transport protein,fadL,,
P77712,P77712,Long-chain acyl-CoA thioesterase FadM,fadM,,
P0A8V6,P0A8V6,Fatty acid metabolism regulator protein,fadR,,
P0AB71,P0AB71,Fructose-bisphosphate aldolase class 2,fbaA,,
P0A991,P0A991,Fructose-bisphosphate aldolase class 1,fbaB,,
P0A993,P0A993,"Fructose-1,6-bisphosphatase class 1",fbp,,
P32177,P32177,Protein FdhD,fdhD,,
P13024,P13024,Protein FdhE,fdhE,,
P32176,P32176,Formate dehydrogenase-O major subunit,fdoG,,
P0AAJ5,P0AAJ5,Formate dehydrogenase-O iron-sulfur subunit,fdoH,,
P0AEL0,P0AEL0,"Formate dehydrogenase, cytochrome b556(fdo) subunit",fdoI,,
P0A9R4,P0A9R4,2Fe-2S ferredoxin,fdx,,
P80668,P80668,Phenylacetaldehyde dehydrogenase,feaB,,
Q47129,Q47129,Transcriptional activator feaR,feaR,,
P13036,P13036,Fe(3+) dicitrate transport protein FecA,fecA,,
P05825,P05825,Ferrienterobactin receptor,fepA,,
P0AEL6,P0AEL6,Ferrienterobactin-binding periplasmic protein,fepB,,
P0AGD7,P0AGD7,Signal recognition particle protein,ffh,,
P19323,P19323,Formate hydrogenlyase transcriptional activator,fhlA,,
P06971,P06971,Ferrichrome-iron receptor,fhuA,,
P20605,P20605,Probable adenosine monophosphate-protein transferase fic,fic,,
P04128,P04128,"Type-1 fimbrial protein, A chain",fimA,,
P31697,P31697,Chaperone protein fimC,fimC,,
P30130,P30130,Outer membrane usher protein fimD,fimD,,
P08189,P08189,Protein fimF,fimF,,
P08190,P08190,Protein fimG,fimG,,
P08191,P08191,Protein fimH,fimH,,
P39264,P39264,Fimbrin-like protein fimI,fimI,,
P0A6R3,P0A6R3,DNA-binding protein fis,fis,,
P75780,P75780,Catecholate siderophore receptor Fiu,fiu,,
P31574,P31574,Protein fixB,fixB,,
P0A9L3,P0A9L3,FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase,fklB,,
P45523,P45523,FKBP-type peptidyl-prolyl cis-trans isomerase fkpA,fkpA,,
P0AEM0,P0AEM0,FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase,fkpB,,
P61949,P61949,Flavodoxin-1,fldA,,
P0ABY4,P0ABY4,Flavodoxin-2,fldB,,
P0ABX5,P0ABX5,Flagellar basal-body rod protein flgG,flgG,,
P0A6S0,P0A6S0,Flagellar L-ring protein,flgH,,
P0AEM4,P0AEM4,Negative regulator of flagellin synthesis,flgM,,
P76298,P76298,Flagellar biosynthesis protein flhA,flhA,,
P0AEM6,P0AEM6,RNA polymerase sigma factor for flagellar operon,fliA,,
P04949,P04949,Flagellin,fliC,,
P25798,P25798,Flagellar M-ring protein,fliF,,
P0ABZ1,P0ABZ1,Flagellar motor switch protein FliG,fliG,,
P06974,P06974,Flagellar motor switch protein FliM,fliM,,
P15070,P15070,Flagellar motor switch protein FliN,fliN,,
P0AEM9,P0AEM9,Cystine-binding periplasmic protein,fliY,,
P39180,P39180,Antigen 43;Antigen 43 alpha chain;Antigen 43 beta chain,flu,,
P23882,P23882,Methionyl-tRNA formyltransferase,fmt,,
P0AC23,P0AC23,Probable formate transporter 1,focA,,
P0ABQ4,P0ABQ4,Dihydrofolate reductase,folA,,
P0AC16,P0AC16,Dihydroneopterin aldolase,folB,,
P08192,P08192,Bifunctional protein folC;Folylpolyglutamate synthase;Dihydrofolate synthase,folC,,
P24186,P24186,Bifunctional protein FolD;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase,folD,,
P0A6T5,P0A6T5,GTP cyclohydrolase 1,folE,,
P26281,P26281,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,folK,,
P0AFS3,P0AFS3,Dihydrofolate reductase folM,folM,,
P0AC13,P0AC13,Dihydropteroate synthase,folP,,
P0AC19,P0AC19,"D-erythro-7,8-dihydroneopterin triphosphate epimerase",folX,,
P28861,P28861,Ferredoxin--NADP reductase,fpr,,
P69902,P69902,Formyl-coenzyme A transferase,frc,,
P00363,P00363,Fumarate reductase flavoprotein subunit,frdA,,
P0AC47,P0AC47,Fumarate reductase iron-sulfur subunit,frdB,,
P0A8Q0,P0A8Q0,Fumarate reductase subunit C,frdC,,
P0A8Q3,P0A8Q3,Fumarate reductase subunit D,frdD,,
P0AEN1,P0AEN1,NAD(P)H-flavin reductase,fre,,
P45544,P45544,HTH-type transcriptional regulator FrlR,frlR,,
P25437,P25437,S-(hydroxymethyl)glutathione dehydrogenase,frmA,,
P51025,P51025,S-formylglutathione hydrolase frmB,frmB,,
P0AAP3,P0AAP3,Transcriptional repressor frmR,frmR,,
P0A805,P0A805,Ribosome-recycling factor,frr,,
P04335,P04335,Esterase FrsA,frsA,,
P20966,P20966,PTS system fructose-specific EIIBC component;Fructose-specific phosphotransferase enzyme IIB component;Fructose permease IIC component,fruA,,
P69811,P69811,Multiphosphoryl transfer protein;Phosphocarrier protein HPr;Fructose-specific phosphotransferase enzyme IIA component,fruB,,
P0AEW9,P0AEW9,1-phosphofructokinase,fruK,,
P78055,P78055,Fructose-6-phosphate aldolase 1,fsaA,,
P32669,P32669,Fructose-6-phosphate aldolase 2,fsaB,,
P0A998,P0A998,Ferritin-1,ftnA,,
P0ABH0,P0ABH0,Cell division protein FtsA,ftsA,,
P0A9R7,P0A9R7,Cell division ATP-binding protein FtsE,ftsE,,
P0AAI3,P0AAI3,ATP-dependent zinc metalloprotease FtsH,ftsH,,
P29131,P29131,Cell division protein FtsN,ftsN,,
P26648,P26648,Cell division protein FtsP,ftsP,,
P0AC30,P0AC30,Cell division protein FtsX,ftsX,,
P10121,P10121,Signal recognition particle receptor FtsY,ftsY,,
P0A9A6,P0A9A6,Cell division protein FtsZ,ftsZ,,
P0AB87,P0AB87,L-fuculose phosphate aldolase,fucA,,
P69922,P69922,L-fucose isomerase,fucI,,
P0A9S1,P0A9S1,Lactaldehyde reductase,fucO,,
P0ACK8,P0ACK8,L-fucose operon activator,fucR,,
P0AEN8,P0AEN8,L-fucose mutarotase,fucU,,
P0AC33,P0AC33,"Fumarate hydratase class I, aerobic",fumA,,
P14407,P14407,"Fumarate hydratase class I, anaerobic",fumB,,
P05042,P05042,Fumarate hydratase class II,fumC,,
P0A9A9,P0A9A9,Ferric uptake regulation protein,fur,,
P0A6M8,P0A6M8,Elongation factor G,fusA,,
P37147,P37147,UPF0716 protein fxsA,fxsA,,
P25526,P25526,Succinate-semialdehyde dehydrogenase [NADP(+)] GabD,gabD,,
P22256,P22256,4-aminobutyrate aminotransferase GabT,gabT,,
P69908,P69908,Glutamate decarboxylase alpha,gadA,,
P69910,P69910,Glutamate decarboxylase beta,gadB,,
P63235,P63235,Probable glutamate/gamma-aminobutyrate antiporter,gadC,,
P63204,P63204,Transcriptional regulator gadE,gadE,,
P09147,P09147,UDP-glucose 4-epimerase,galE,,
P0AAB6,P0AAB6,UTP--glucose-1-phosphate uridylyltransferase,galF,,
P0A6T3,P0A6T3,Galactokinase,galK,,
P0A9C3,P0A9C3,Aldose 1-epimerase,galM,,
P03024,P03024,HTH-type transcriptional regulator GalR,galR,,
P25748,P25748,HTH-type transcriptional regulator GalS,galS,,
P09148,P09148,Galactose-1-phosphate uridylyltransferase,galT,,
P0AEP3,P0AEP3,UTP--glucose-1-phosphate uridylyltransferase,galU,,
P0A9B2;P33898,P0A9B2,Glyceraldehyde-3-phosphate dehydrogenase A,gapA,,
P39829,P39829,D-galactarate dehydratase,garD,,
P23524,P23524,Glycerate 2-kinase,garK,,
P23522,P23522,5-keto-4-deoxy-D-glucarate aldolase,garL,,
P0ABQ2,P0ABQ2,2-hydroxy-3-oxopropionate reductase,garR,,
P69828,P69828,Galactitol-specific phosphotransferase enzyme IIA component,gatA,,
P0C8J6,P0C8J6,"D-tagatose-1,6-bisphosphate aldolase subunit GatY",gatY,,
P0C8J8,P0C8J8,"D-tagatose-1,6-bisphosphate aldolase subunit gatZ",gatZ,,
P15877,P15877,Quinoprotein glucose dehydrogenase,gcd,,
P05852,P05852,Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp,gcp,,
P0A9F6,P0A9F6,Glycine cleavage system transcriptional activator,gcvA,,
P0A6T9,P0A6T9,Glycine cleavage system H protein,gcvH,,
P33195,P33195,Glycine dehydrogenase [decarboxylating],gcvP,,
P0A9I3,P0A9I3,Glycine cleavage system transcriptional repressor,gcvR,,
P27248,P27248,Aminomethyltransferase,gcvT,,
P00370,P00370,NADP-specific glutamate dehydrogenase,gdhA,,
P18956,P18956,Gamma-glutamyltranspeptidase;Gamma-glutamyltranspeptidase large chain;Gamma-glutamyltranspeptidase small chain,ggt,,
P75913,P75913,Glyoxylate/hydroxypyruvate reductase A,ghrA,,
P37666,P37666,Glyoxylate/hydroxypyruvate reductase B,ghrB,,
Q46839,Q46839,Glycolate permease glcA,glcA,,
P37330,P37330,Malate synthase G,glcB,,
P0ACL5,P0ACL5,Glc operon transcriptional activator,glcC,,
P0AEQ1,P0AEQ1,Protein glcG,glcG,,
P0A9S5,P0A9S5,Glycerol dehydrogenase,gldA,,
P37747,P37747,UDP-galactopyranose mutase,glf,,
P0A6U8,P0A6U8,Glycogen synthase,glgA,,
P07762,P07762,"1,4-alpha-glucan branching enzyme GlgB",glgB,,
P0A6V1,P0A6V1,Glucose-1-phosphate adenylyltransferase,glgC,,
P0AC86,P0AC86,Glycogen phosphorylase,glgP,,
P26649,P26649,Glycogen synthesis protein glgS,glgS,,
P15067,P15067,Glycogen debranching enzyme,glgX,,
P0A6V8,P0A6V8,Glucokinase,glk,,
P31120,P31120,Phosphoglucosamine mutase,glmM,,
P17169,P17169,Glucosamine--fructose-6-phosphate aminotransferase [isomerizing],glmS,,
P0ACC7,P0ACC7,Bifunctional protein GlmU;UDP-N-acetylglucosamine pyrophosphorylase;Glucosamine-1-phosphate N-acetyltransferase,glmU,,
P0A9C5,P0A9C5,Glutamine synthetase,glnA,,
P0A9Z1,P0A9Z1,Nitrogen regulatory protein P-II 1,glnB,,
P27249,P27249,[Protein-PII] uridylyltransferase,glnD,,
P30870,P30870,Glutamate-ammonia-ligase adenylyltransferase,glnE,,
P0AFB8,P0AFB8,Nitrogen regulation protein NR(I),glnG,,
P0AEQ3,P0AEQ3,Glutamine-binding periplasmic protein,glnH,,
P0AFB5,P0AFB5,Nitrogen regulation protein NR(II),glnL,,
P0AEQ6,P0AEQ6,Glutamine transport system permease protein glnP,glnP,,
P10346,P10346,Glutamine transport ATP-binding protein GlnQ,glnQ,,
P00962,P00962,Glutamine--tRNA ligase,glnS,,
P0AC81,P0AC81,Lactoylglutathione lyase,gloA,,
P0AC84,P0AC84,Hydroxyacylglutathione hydrolase,gloB,,
P0A9C0,P0A9C0,Anaerobic glycerol-3-phosphate dehydrogenase subunit A,glpA,,
P13033,P13033,Anaerobic glycerol-3-phosphate dehydrogenase subunit B,glpB,,
P0A996,P0A996,Anaerobic glycerol-3-phosphate dehydrogenase subunit C,glpC,,
P13035,P13035,Aerobic glycerol-3-phosphate dehydrogenase,glpD,,
P0A6V5,P0A6V5,Thiosulfate sulfurtransferase GlpE,glpE,,
P0AER0,P0AER0,Glycerol uptake facilitator protein,glpF,,
P0A6F3,P0A6F3,Glycerol kinase,glpK,,
P09394,P09394,Glycerophosphoryl diester phosphodiesterase,glpQ,,
P0ACL0,P0ACL0,Glycerol-3-phosphate regulon repressor,glpR,,
P08194,P08194,Glycerol-3-phosphate transporter,glpT,,
P0A9C9,P0A9C9,"Fructose-1,6-bisphosphatase 1 class 2",glpX,,
P0AFU4,P0AFU4,Transcriptional regulatory protein GlrR,glrR,,
P77454,P77454,Glutaminase 1,glsA1,,
P0A6W0,P0A6W0,Glutaminase 2,glsA2,,
P0ABH7,P0ABH7,Citrate synthase,gltA,,
P09831,P09831,Glutamate synthase [NADPH] large chain,gltB,,
P09832;P37127,P09832,Glutamate synthase [NADPH] small chain,gltD,,
P37902,P37902,Glutamate/aspartate periplasmic-binding protein,gltI,,
P0AER3,P0AER3,Glutamate/aspartate transport system permease protein gltJ,gltJ,,
P0AAG3,P0AAG3,Glutamate/aspartate transport ATP-binding protein GltL,gltL,,
P0AER8,P0AER8,Sodium/glutamate symport carrier protein,gltS,,
P04805,P04805,Glutamate--tRNA ligase,gltX,,
P27305,P27305,Glutamyl-Q tRNA(Asp) synthetase,gluQ,,
P69789,P69789,Phosphotransferase enzyme IIB component glvB,glvB,,
P77364,P77364,Glycerate kinase,glxK,,
P0A825,P0A825,Serine hydroxymethyltransferase,glyA,,
P00960,P00960,Glycine--tRNA ligase alpha subunit,glyQ,,
P00961,P00961,Glycine--tRNA ligase beta subunit,glyS,,
P63224,P63224,Phosphoheptose isomerase,gmhA,,
P63228,P63228,"D,D-heptose 1,7-bisphosphate phosphatase",gmhB,,
P60546,P60546,Guanylate kinase,gmk,,
P77334,P77334,Cyclic di-GMP phosphodiesterase Gmr,gmr,,
P00350,P00350,"6-phosphogluconate dehydrogenase, decarboxylating",gnd,,
P0AC92,P0AC92,Protein gnsA,gnsA,,
P77695,P77695,Protein gnsB,gnsB,,
P46859,P46859,Thermoresistant gluconokinase,gntK,,
P0AC94,P0AC94,High-affinity gluconate transporter,gntP,,
P0ACP5,P0ACP5,HTH-type transcriptional regulator GntR,gntR,,
P39835,P39835,High-affinity gluconate transporter,gntT,,
P06715,P06715,Glutathione reductase,gor,,
P32662,P32662,Phosphoglycolate phosphatase,gph,,
P62707,P62707,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",gpmA,,
P0A7A2,P0A7A2,Probable phosphoglycerate mutase GpmB,gpmB,,
P37689,P37689,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",gpmI,,
P25552,P25552,"Guanosine-5-triphosphate,3-diphosphate pyrophosphatase",gppA,,
Q46851,Q46851,L-glyceraldehyde 3-phosphate reductase,gpr,,
P0A6S7,P0A6S7,Glycerol-3-phosphate dehydrogenase [NAD(P)+],gpsA,,
P0A9M5,P0A9M5,Xanthine phosphoribosyltransferase,gpt,,
P68066,P68066,Autonomous glycyl radical cofactor,grcA,,
P0A6W5,P0A6W5,Transcription elongation factor GreA,greA,,
P30128,P30128,Transcription elongation factor GreB,greB,,
P0A6F5,P0A6F5,60 kDa chaperonin,groL,,
P0A6F9,P0A6F9,10 kDa chaperonin,groS,,
P09372;REV__P22106,P09372,Protein grpE,grpE,,
P68688,P68688,Glutaredoxin-1,grxA,,
P0AC59,P0AC59,Glutaredoxin-2,grxB,,
P0AC62,P0AC62,Glutaredoxin-3,grxC,,
P0AC69,P0AC69,Glutaredoxin-4,grxD,,
P0A6W9,P0A6W9,Glutamate--cysteine ligase,gshA,,
P04425,P04425,Glutathione synthetase,gshB,,
P75796,P75796,Glutathione import ATP-binding protein GsiA,gsiA,,
P75797;D9IX93,P75797;D9IX93,Glutathione-binding protein gsiB,gsiB,,
P0AEW6,P0AEW6,Inosine-guanosine kinase,gsk,,
P0AES0,P0AES0,Bifunctional glutathionylspermidine synthetase/amidase;Glutathionylspermidine synthase;Glutathionylspermidine amidase,gsp,,
P41441,P41441,Putative type II secretion system protein F,gspF,,
P0A9D2,P0A9D2,Glutathione S-transferase GstA,gstA,,
P0ACA7,P0ACA7,Glutathione S-transferase GstB,gstB,,
P04079,P04079,GMP synthase [glutamine-hydrolyzing],guaA,,
P0ADG7,P0ADG7,Inosine-5-monophosphate dehydrogenase,guaB,,
P76641,P76641,Guanine deaminase,guaD,,
P0AES2,P0AES2,Glucarate dehydratase,gudD,,
P17115,P17115,Arabinose 5-phosphate isomerase GutQ,gutQ,,
P0AES4,P0AES4,DNA gyrase subunit A,gyrA,,
P0AES6,P0AES6,DNA gyrase subunit B,gyrB,,
P31658,P31658,Molecular chaperone Hsp31 and glyoxalase 3,hchA,,
P69931,P69931,DnaA-homolog protein hda,hda,,
P0AES9,P0AES9,Acid stress chaperone HdeA,hdeA,,
P0AET2,P0AET2,Acid stress chaperone HdeB,hdeB,,
P0AET5,P0AET5,Protein hdeD,hdeD,,
P0AET8,P0AET8,7-alpha-hydroxysteroid dehydrogenase,hdhA,,
P15038,P15038,Helicase IV,helD,,
P0ACB2,P0ACB2,Delta-aminolevulinic acid dehydratase,hemB,,
P06983,P06983,Porphobilinogen deaminase,hemC,,
P09126,P09126,Uroporphyrinogen-III synthase,hemD,,
P29680,P29680,Uroporphyrinogen decarboxylase,hemE,,
P0ACB4,P0ACB4,Protoporphyrinogen IX dehydrogenase [menaquinone],hemG,,
P23871,P23871,Ferrochelatase,hemH,,
P23893,P23893,"Glutamate-1-semialdehyde 2,1-aminomutase",hemL,,
P32131,P32131,Oxygen-independent coproporphyrinogen-III oxidase,hemN,,
P09127,P09127,Putative uroporphyrinogen-III C-methyltransferase,hemX,,
P0ACB7,P0ACB7,Protein hemY,hemY,,
P46118,P46118,HTH-type transcriptional regulator HexR,hexR,,
P0ABC3,P0ABC3,Modulator of FtsH protease HflC,hflC,,
P25746,P25746,High frequency lysogenization protein HflD,hflD,,
P0ABC7,P0ABC7,Modulator of FtsH protease HflK,hflK,,
P25519,P25519,GTPase HflX,hflX,,
P0A6X3,P0A6X3,Protein hfq,hfq,,
P0ACE7,P0ACE7,HIT-like protein hinT,hinT,,
P23874,P23874,Serine/threonine-protein kinase HipA,hipA,,
P23873,P23873,Antitoxin HipB,hipB,,
P10371,P10371,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase,hisA,,
P06987,P06987,Histidine biosynthesis bifunctional protein HisB;Histidinol-phosphatase;Imidazoleglycerol-phosphate dehydratase,hisB,,
P06986,P06986,Histidinol-phosphate aminotransferase,hisC,,
P06988,P06988,Histidinol dehydrogenase,hisD,,
P60664,P60664,Imidazole glycerol phosphate synthase subunit HisF,hisF,,
P60757,P60757,ATP phosphoribosyltransferase,hisG,,
P60595,P60595,Imidazole glycerol phosphate synthase subunit HisH,hisH,,
P06989,P06989,Histidine biosynthesis bifunctional protein HisIE;Phosphoribosyl-AMP cyclohydrolase;Phosphoribosyl-ATP pyrophosphatase,hisI,,
P0AEU0,P0AEU0,Histidine-binding periplasmic protein,hisJ,,
P07109,P07109,Histidine transport ATP-binding protein HisP,hisP,,
P60906,P60906,Histidine--tRNA ligase,hisS,,
P67910,P67910,ADP-L-glycero-D-manno-heptose-6-epimerase,hldD,,
P76658,P76658,Bifunctional protein HldE;D-beta-D-heptose 7-phosphate kinase;D-beta-D-heptose 1-phosphate adenosyltransferase,hldE,,
P77335,P77335,"Hemolysin E, chromosomal",hlyE,,
P24232,P24232,Flavohemoprotein,hmp,,
P0AEV1,P0AEV1,Protein hnr,hnr,,
P0ACF8,P0ACF8,DNA-binding protein H-NS,hns,,
P28630,P28630,DNA polymerase III subunit delta,holA,,
P28631,P28631,DNA polymerase III subunit delta,holB,,
P28905,P28905,DNA polymerase III subunit chi,holC,,
P28632,P28632,DNA polymerase III subunit psi,holD,,
P0AFX0,P0AFX0,Ribosome hibernation promoting factor,hpf,,
P0A9M2,P0A9M2,Hypoxanthine phosphoribosyltransferase,hpt,,
P43329,P43329,ATP-dependent RNA helicase hrpA,hrpA,,
P37024,P37024,ATP-dependent RNA helicase hrpB,hrpB,,
P0A6Z1,P0A6Z1,Chaperone protein HscA,hscA,,
P0A6L9,P0A6L9,Co-chaperone protein HscB,hscB,,
P52644,P52644,Heat shock protein hslJ,hslJ,,
P0A6Y5,P0A6Y5,33 kDa chaperonin,hslO,,
P0ACG8,P0ACG8,Heat shock protein 15,hslR,,
P0A6H5,P0A6H5,ATP-dependent protease ATPase subunit HslU,hslU,,
P0A7B8,P0A7B8,ATP-dependent protease subunit HslV,hslV,,
P0A6Z3,P0A6Z3,Chaperone protein htpG,htpG,,
P23894,P23894,Protease HtpX,htpX,,
P0ACV0,P0ACV0,Lipid A biosynthesis lauroyl acyltransferase,htrB,,
P25666,P25666,Protein htrL,htrL,,
P0ACF0,P0ACF0,DNA-binding protein HU-alpha,hupA,,
P0ACF4,P0ACF4,DNA-binding protein HU-beta,hupB,,
P0ACE0,P0ACE0,Hydrogenase-2 large chain,hybC,,
P37182,P37182,Hydrogenase 2 maturation protease,hybD,,
P0AEV9,P0AEV9,Hydrogenase 3 maturation protease,hycI,,
P23481,P23481,Hydrogenase-4 component A,hyfA,,
P30147,P30147,Hydroxypyruvate isomerase,hyi,,
P24193,P24193,Hydrogenase isoenzymes formation protein hypE,hypE,,
P37595,P37595,Isoaspartyl peptidase;Isoaspartyl peptidase subunit alpha;Isoaspartyl peptidase subunit beta,iaaA,,
P39377,P39377,Isoaspartyl dipeptidase,iadA,,
P0C054,P0C054,Small heat shock protein IbpA,ibpA,,
P0C058,P0C058,Small heat shock protein IbpB,ibpB,,
P08200;Q1PI72,P08200;Q1PI72,Isocitrate dehydrogenase [NADP],icd,,
P0A8S1,P0A8S1,Chromosome initiation inhibitor,iciA,,
P16528,P16528,Acetate operon repressor,iclR,,
Q46822,Q46822,Isopentenyl-diphosphate Delta-isomerase,idi,,
P0A9P9,P0A9P9,Gluconate 5-dehydrogenase,idnO,,
P0A6X7,P0A6X7,Integration host factor subunit alpha,ihfA,,
P0A6Y1,P0A6Y1,Integration host factor subunit beta,ihfB,,
P00956,P00956,Isoleucine--tRNA ligase,ileS,,
P04968,P04968,L-threonine dehydratase biosynthetic IlvA,ilvA,,
P08142,P08142,Acetolactate synthase isozyme 1 large subunit,ilvB,,
P05793,P05793,Ketol-acid reductoisomerase,ilvC,,
P05791,P05791,Dihydroxy-acid dehydratase,ilvD,,
P0AB80,P0AB80,Branched-chain-amino-acid aminotransferase,ilvE,,
P00894,P00894,Acetolactate synthase isozyme 3 small subunit,ilvH,,
P00893,P00893,Acetolactate synthase isozyme 3 large subunit,ilvI,,
P0ADF8,P0ADF8,Acetolactate synthase isozyme 1 small subunit,ilvN,,
P05827,P05827,HTH-type transcriptional regulator IlvY,ilvY,,
P69222,P69222,Translation initiation factor IF-1,infA,,
P0A705;P0A705-3;P0A705-2,P0A705;P0A705-3;P0A705-2,Translation initiation factor IF-2,infB,,
P0A707,P0A707,"Translation initiation factor IF-3;Translation initiation factor IF-3, N-terminally processed;Translation initiation factor IF-3S",infC,,
P37326,P37326,Putative prophage CPS-53 integrase,intS,,
P0AAN9,P0AAN9,Anti-adapter protein iraP,iraP,,
P0AAC8,P0AAC8,Iron-binding protein IscA,iscA,,
P0AGK8,P0AGK8,HTH-type transcriptional regulator IscR,iscR,,
P0A6B7,P0A6B7,Cysteine desulfurase,iscS,,
P0C0L9,P0C0L9,Protein iscX,iscX,,
P22939,P22939,Farnesyl diphosphate synthase,ispA,,
P0AD57,P0AD57,Octaprenyl-diphosphate synthase,ispB,,
Q46893,Q46893,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,ispD,,
P62615,P62615,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,ispE,,
P62617,P62617,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",ispF,,
P62620,P62620,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase,ispG,,
P62623,P62623,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,ispH,,
P0AD59,P0AD59,Inhibitor of vertebrate lysozyme,ivy,,
P21179,P21179,Catalase HPII,katE,,
P13029,P13029,Catalase-peroxidase,katG,,
P0C8K0,P0C8K0,"D-tagatose-1,6-bisphosphate aldolase subunit kbaZ",kbaZ,,
P0AB77,P0AB77,2-amino-3-ketobutyrate coenzyme A ligase,kbl,,
P31069,P31069,Voltage-gated potassium channel Kch,kch,,
P37647,P37647,2-dehydro-3-deoxygluconokinase,kdgK,,
P0A712,P0A712,2-keto-3-deoxygluconate permease,kdgT,,
P0A715,P0A715,2-dehydro-3-deoxyphosphooctonate aldolase,kdsA,,
P04951,P04951,3-deoxy-manno-octulosonate cytidylyltransferase,kdsB,,
P0ABZ4,P0ABZ4,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC,kdsC,,
P45395,P45395,Arabinose 5-phosphate isomerase KdsD,kdsD,,
P37769,P37769,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase,kduD,,
Q46938,Q46938,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase,kduI,,
P77338,P77338,Potassium efflux system KefA,kefA,,
P03819,P03819,Glutathione-regulated potassium-efflux system protein kefC,kefC,,
P0A754,P0A754,Glutathione-regulated potassium-efflux system ancillary protein kefF,kefF,,
P0A756,P0A756,Glutathione-regulated potassium-efflux system ancillary protein KefG,kefG,,
P0AEX3,P0AEX3,Alpha-ketoglutarate permease,kgtP,,
P63183,P63183,Low affinity potassium transport system protein kup,kup,,
P03023;B8LFD5,P03023;B8LFD5,Lactose operon repressor,lacI,,
P00722;B8LFD6,P00722;B8LFD6,Beta-galactosidase;Beta-galactosidase 2,lacZ;lacZ2,,
P02943,P02943,Maltoporin,lamB,,
P37005,P37005,Uncharacterized tRNA/rRNA methyltransferase LasT,lasT,,
P76008,P76008,Murein tetrapeptide carboxypeptidase,ldcA,,
P52095,P52095,"Lysine decarboxylase, constitutive",ldcC,,
P52643,P52643,D-lactate dehydrogenase,ldhA,,
P60785,P60785,Elongation factor 4,lepA,,
P00803,P00803,Signal peptidase I,lepB,,
P30125,P30125,3-isopropylmalate dehydrogenase,leuB,,
P07813,P07813,Leucine--tRNA ligase,leuS,,
P0A7C2,P0A7C2,LexA repressor,lexA,,
P60955,P60955,Prolipoprotein diacylglyceryl transferase,lgt,,
P37339,P37339,L-2-hydroxyglutarate oxidase LhgO,lhgO,,
P15042,P15042,DNA ligase,ligA,,
P37025,P37025,2-5-RNA ligase,ligT,,
P60716,P60716,Lipoyl synthase,lipA,,
P60720,P60720,Octanoyltransferase,lipB,,
P0AD96;P04816,P0AD96,Leu/Ile/Val-binding protein,livJ,,
P33232,P33232,L-lactate dehydrogenase [cytochrome],lldD,,
P0ACL7,P0ACL7,Putative L-lactate dehydrogenase operon regulatory protein,lldR,,
P23930,P23930,Apolipoprotein N-acyltransferase,lnt,,
P61316,P61316,Outer-membrane lipoprotein carrier protein,lolA,,
P61320,P61320,Outer-membrane lipoprotein LolB,lolB,,
P0ADC3,P0ADC3,Lipoprotein-releasing system transmembrane protein LolC,lolC,,
P75957,P75957,Lipoprotein-releasing system ATP-binding protein LolD,lolD,,
P75958,P75958,Lipoprotein-releasing system transmembrane protein LolE,lolE,,
P0A9M0,P0A9M0,Lon protease,lon,,
P0A9P0,P0A9P0,Dihydrolipoyl dehydrogenase,lpdA,,
P32099,P32099,Lipoate-protein ligase A,lplA,,
P45464,P45464,Penicillin-binding protein activator LpoA,lpoA,,
P0AB38,P0AB38,Penicillin-binding protein activator LpoB,lpoB,,
P69776,P69776,Major outer membrane lipoprotein Lpp,lpp,,
P0ADV1,P0ADV1,Lipopolysaccharide export system protein lptA,lptA,,
P0A9V1,P0A9V1,Lipopolysaccharide export system ATP-binding protein LptB,lptB,,
